:ID,:LABEL,title,identifier
col-79399575-3936-47f2-8848-b95a2d39dfd5,Collection,"Industrial Engineers, Including Health and Safety_APRIL.2023",79399575-3936-47f2-8848-b95a2d39dfd5
col-79f6914f-7967-40e4-b9cb-f4b982669c47,Collection,AI Literacy,79f6914f-7967-40e4-b9cb-f4b982669c47
col-7bfe0550-a69e-42a7-b7f1-b5c23517a516,Collection,AI Fundamentals,7bfe0550-a69e-42a7-b7f1-b5c23517a516
col-7c3560bc-4be2-426b-92b8-67a8c55234cd,Collection,Microcredential in Healthcare Management_February.2022,7c3560bc-4be2-426b-92b8-67a8c55234cd
col-7db98f50-a8f6-4771-abd2-cb5ae2b28ae5,Collection,WGU Manager,7db98f50-a8f6-4771-abd2-cb5ae2b28ae5
col-7f8f6122-1957-4a7f-934c-78e4e178a6c5,Collection,WGU Instructional Faculty,7f8f6122-1957-4a7f-934c-78e4e178a6c5
col-80be6819-cf5d-44c7-ad5e-3645c7bf8bf0,Collection,Career and Workforce Readiness_JUNE.2023,80be6819-cf5d-44c7-ad5e-3645c7bf8bf0
col-80d1b439-cdfb-4172-bb23-f480d1ed5f05,Collection,Taxation_Sept.2023,80d1b439-cdfb-4172-bb23-f480d1ed5f05
col-8248933b-2a75-46d7-a69b-20d3c7a0dbc6,Collection,Business Essentials_Apr.2023,8248933b-2a75-46d7-a69b-20d3c7a0dbc6
col-8513f901-da33-4cc7-ac0a-d80595f231d8,Collection,Human Resources Specialists_Dec.2022,8513f901-da33-4cc7-ac0a-d80595f231d8
col-85898eab-70d1-4413-93ce-8c54f57602e0,Collection,Strategic Communications_Oct.2023,85898eab-70d1-4413-93ce-8c54f57602e0
col-85c93bc0-e0c1-4b7d-8511-ce559e70f4cd,Collection,Instructional Design: K-12_Feb.2023,85c93bc0-e0c1-4b7d-8511-ce559e70f4cd
col-86d75f52-e12b-423e-bc05-27561b33a767,Collection,"Education Administrators, All Others_Jan.2023",86d75f52-e12b-423e-bc05-27561b33a767
col-873d7ef2-d1d1-4a54-b256-b677d8ec7caa,Collection,First-Line Supervisors of Law Enforcement Workers_JUNE.2023,873d7ef2-d1d1-4a54-b256-b677d8ec7caa
col-8959bdc8-7d46-41e2-91cf-e5abfd2ad09f,Collection,"Bailiffs, Correctional Officers, and Jailers_March 2023",8959bdc8-7d46-41e2-91cf-e5abfd2ad09f
col-8a12963d-446b-439b-a070-e9c85a17cb1c,Collection,Preschool and Kindergarten Teachers_Dec.2022,8a12963d-446b-439b-a070-e9c85a17cb1c
col-8a8b0a21-8f44-4499-a7a5-05224f05c4b1,Collection,Financial Examiners_Jan.2023,8a8b0a21-8f44-4499-a7a5-05224f05c4b1
